University_Name,TOEFL_Min,TOEFL_Thresh,Space,LOE,GPA_Info,GPA_Min,NBDE_2,Extra
University of Nebraska Medical Center College of Dentistry,90,,5,"1) One Letter of Evaluation must come from a former faculty member. 2) Two Letters of Evaluation should come from former mentors or employers who can attest to character, conduct and professional ability of the applicant. (Letters must come from different writers).",No information available,0,1,No information available
"University of North Carolina at Chapel Hill, Adams School of Dentistry",95,,4,1) One Letter of Evaluation to come from the dean or a faculty member of the dental school from which the applicant graduated. 2) The second letter should come from a dentist practicing in the United States who supervised or worked with the applicant in a clinical or educational setting or who the applicant shadowed. 3) The third letter should come from someone the applicant has been supervised by in a professional setting.,No information available,0,1,No information available
University of Minnesota School of Dentistry,94,,16,No information available,No information available,0,1,No information available
University of Michigan School of Dentistry,94,100,20,"1) One Letter of Evaluation to come from dean of the dental school from which the applicant graduated.  2) The remaining letters should be from an instructor or similar individual who is able to evaluate the applicant’s dental knowledge, skill, character and potential for success in the program",No information available,0,1,No information available
The Maurice H. Kornberg School of Dentistry Temple University - Attrition Based Program,100,,,Two letters are required. 1) One letter from the dean of the dental college attended.  2) One letter from a science professor or dental professional,No information available,0,1,No information available
The Maurice H. Kornberg School of Dentistry Temple University - International Program,100,,10,Two letters are required. 1) One letter from the dean of the dental college attended.  2) One letter from a science professor or dental professional,No information available,0,1,No information available
University of New England College of Dental Medicine,95,,,"Three letters are required.  1) Dean or Chief/Senior Administrator of the applicant’s dental school (dean-level preferred).  2) Dental school clinical instructor who is able to evaluate the applicant’s potential.  3) One professional reference who can attest to the applicant’s character, conduct and professional ability, if applicable.",No information available,0,1,No information available
University of Alabama at Birmingham School of Dentistry,94,,16,"Program requires three Letters of Evaluation from former teachers or mentors who can attest to applicant's character, conduct and professional ability. If possible, one or more of the three letters should be from a dentist practicing in the United States who supervised or worked with the applicant in a clinical or educational setting.",No information available,0,1,"The program consists of didactic courses, pre-clinical simulated courses and clinical courses involving direct patient care."
Herman Ostrow School of Dentistry of USC,0,100,34,No information available,No information available,0,0,No information available
Loma Linda University School of Dentistry,0,100,32,"1) Program accepts up to three Letters of Recommendation.    2) Program prefers one Letter of Recommendation to come from former teachers or mentors who can attest to applicant’s character, conduct and professional ability.",No information available,0,1,No information available
"University of California, Los Angeles School of Dentistry",95,,25,"Applicants must submit one Letter of Recommendation from each of the following individuals:   1) Dean or head of the applicant’s dental school.   2) Dental school clinical instructor who is able to evaluate the applicant’s potential.   3) A person of the applicant’s choosing, preferably someone with whom the applicant has worked with.",No information available,0,1,No information available
The University of Iowa College of Dentistry & Dental Clinics,100,,upto 4,"One Letter of Evaluation to come from a former faculty member. One Letter of Evaluation to come from a former teacher or mentor who can attest to applicant's character, conduct and professional ability. The third Letter of Evaluation may come from an individual of the applicant’s choice that is not a family member.",No information available,0,1,No information available
Southern Illinois University School of Dental Medicine,94,,6,"Three letters are required: The letters should be from instructors or individuals who are able to evaluate the applicant’s dental knowledge, skill, character and potential for success in the IAPP. At least one letter should be written by a dental professional who has worked with the candidate within the 12 months preceding the application submission.",No information available,0,1,"The Interview/Bench Examination process will take place over two days on the SDM campus. Candidates will be expected to complete any or all of the following: Operative Dentistry preparations and restorations, Fixed Prosthodontic preparations and provisional restorations, Endodontic access preparations, and Removable Prosthodontic treatment plans. All procedures will be accomplished on dentoforms in the Multi-Disciplinary Laboratory utilizing air turbine handpieces. All work will be evaluated by multiple faculty members. Evaluators will not know the identity of the applicants whose work they are grading. All necessary materials for the Bench Examination will be provided by the SDM."
University of Illinois at Chicago College of Dentistry,80,,upto 52,"UIC COD requires only two Letters of Recommendation. Preferably, one should be from a U.S. dental practitioner.",No information available,0,1,Clinical Experience: Preferred minimum experience of two years.
"University of California, San Francisco School of Dentistry",95,,28,"Please submit three Letters of Recommendation via ADEA CAAPID application (required from a clinician who has supervised your work, an academic from your home institution and one of your choice).",No information available,0,1,No information available
University of Florida College of Dentistry,80,,upto 2,Two are required. Provide one personal and one professional (preference: from the dean of dental school from which applicant graduated) Letter of Evaluation.,No information available,0,0,No information available
Howard University College of Dentistry,100,,upto 10,Three are required. Program prefers one Letter of Evaluation to come from the dean of the dental school from which the applicant graduated.,No information available,0,1,No information available
University of the Pacific Arthur A. Dugoni School of Dentistry,92,,26,"Two original official Letters of Evaluation are required. Letters must be written recently by international or U.S. dental professionals (dentists, dental school faculty, etc.) with whom you have worked. A dean’s letter is not required.",No information available,0,1,No information available
University of Colorado School of Dental Medicine,94,,40,No information available,No information available,0,0,"The program consists of didactic courses supported by some on-line resources, pre-clinical simulated courses provided within the School of Dental Medicine and clinical courses involving direct patient care in the School’s clinic and community- based urban and rural health clinics."
Western University Health Sciences College of Dental Medicine,79,,5,"Two Letters of Evaluation are required from dentists who can attest to the applicant’s character, conduct and professional ability. At least one of the letters must be from a dentist who is full-time faculty at a dental school.",No information available,0,1,No information available
